City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness
73,Tiksi,RU,2021-06-07 05:32:24,71.6872,128.8694,42.8,69,100
74,Salina,US,2021-06-07 05:32:24,38.8403,-97.6114,71.73,81,1
75,Souillac,MU,2021-06-07 05:32:24,-20.5167,57.5167,78.37,73,40
76,Yellowknife,CA,2021-06-07 05:30:03,62.456,-114.3525,46.56,73,75
77,Sao Filipe,CV,2021-06-07 05:32:25,14.8961,-24.4956,73.08,79,6
78,Leningradskiy,RU,2021-06-07 05:32:25,69.3833,178.4167,42.53,71,6
79,Mhlume,SZ,2021-06-07 05:32:25,-26.0333,31.85,54.86,72,50
80,Hilton Head Island,US,2021-06-07 05:29:47,32.2163,-80.7526,80.65,91,90
81,Palizada,MX,2021-06-07 05:32:26,18.25,-92.0833,81.95,59,12
82,Garmsar,IR,2021-06-07 05:32:26,35.2182,52.3409,94.51,6,0
83,Bose,IT,2021-06-07 05:32:26,45.4612,8.0137,63.36,96,100
84,Comodoro Rivadavia,AR,2021-06-07 05:32:26,-45.8667,-67.5,53.46,43,0
85,Busselton,AU,2021-06-07 05:32:27,-33.65,115.3333,61.05,56,67
86,Muleba,TZ,2021-06-07 05:32:27,-1.8397,31.6544,70.95,64,7
87,Biu,NG,2021-06-07 05:32:27,10.6129,12.1946,74.28,73,95
88,Manado,ID,2021-06-07 05:32:27,1.487,124.8455,75.97,94,40
89,Bekhteyevka,RU,2021-06-07 05:32:28,50.8072,37.2085,59.9,83,18
90,Lagoa,PT,2021-06-07 05:32:28,39.05,-27.9833,63.52,91,100
91,Jamestown,US,2021-06-07 05:28:09,42.097,-79.2353,71.19,82,1
92,Port Elizabeth,ZA,2021-06-07 05:29:38,-33.918,25.5701,50.29,53,0
93,Hobart,AU,2021-06-07 05:32:28,-42.8794,147.3294,64.26,48,75
94,Cherskiy,RU,2021-06-07 05:32:28,68.75,161.3,60.69,48,74
95,Pingliang,CN,2021-06-07 05:32:29,35.5392,106.6861,84.63,24,37
96,Viedma,AR,2021-06-07 05:28:41,-40.8135,-62.9967,49.41,47,100
97,Monrovia,LR,2021-06-07 05:32:29,6.3005,-10.7969,74.97,84,99
98,Pacifica,US,2021-06-07 05:32:29,37.6138,-122.4869,61.21,81,1
